question,facts,results,precision,recall
['What is the common school of Chris Marve and Neria Douglass?'],"['http://dbpedia.org/ontology/school,http://dbpedia.org/ontology/almaMater,']","[' [        ""http://dbpedia.org/property/school"",         ""http://dbpedia.org/ontology/school""    ]']",['0.5'],['0.5']
"['In which areas are the radio stations of Monticello, Maine available too?']","['http://dbpedia.org/property/city,http://dbpedia.org/property/area,http://dbpedia.org/ontology/RadioStation,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['0.0'],['0.0']
['Name the TV show whose composer is Judy Hart Angelo and company as Paramount Television ?'],"['http://dbpedia.org/ontology/composer,http://dbpedia.org/property/company,http://dbpedia.org/ontology/TelevisionShow,']","[' [        ""http://dbpedia.org/ontology/composer"",         ""http://dbpedia.org/ontology/company""    ]']",['0.666666666667'],['1.0']
['Rivers from which countries flow into the Caspian?'],"['http://dbpedia.org/ontology/riverMouth,http://dbpedia.org/ontology/sourceCountry,http://dbpedia.org/ontology/River,']",[' [        "http://dbpedia.org/ontology/country"    ]'],['0.0'],['0.0']
"['Name the military unit whose garrison is Arlington County, Virginia and command structure is United States Department of Defense?']","['http://dbpedia.org/ontology/garrison,http://dbpedia.org/ontology/commandStructure,http://dbpedia.org/ontology/MilitaryUnit,']","[' [        ""http://dbpedia.org/ontology/garrison"",         ""http://dbpedia.org/ontology/militaryBranch""    ]']",['0.5'],['0.5']
['Where does the successor of Thongsuk Samdaengpan reside?'],"['http://dbpedia.org/property/successor,http://dbpedia.org/ontology/location,']",[' [        "http://dbpedia.org/ontology/successor"    ]'],['0.0'],['0.0']
['what are some devices made by asus?'],"['http://dbpedia.org/ontology/manufacturer,http://dbpedia.org/ontology/InformationAppliance,']",[' [        "http://dbpedia.org/ontology/president"    ]'],['0.0'],['0.0']
['Count the number of people who graduated from universities affiliated with the NCAA.'],"['http://dbpedia.org/ontology/athletics,http://dbpedia.org/property/education,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/property/free"    ]'],['0.0'],['0.0']
['Is Queen Latifah associated with Afrika Baby Bam?'],"['http://dbpedia.org/ontology/associatedBand,']",[' [        "http://dbpedia.org/ontology/associatedBand"    ]'],['1.0'],['1.0']
['Name the sports played by PATTS College of Aeronautics?'],"['http://dbpedia.org/property/athletics,']",[],,
['Which country did the prime minister belong to who was served by Thanong Bidaya ?'],"['http://dbpedia.org/property/primeminister,http://dbpedia.org/ontology/nationality,']",[' [        "http://dbpedia.org/ontology/successor"    ]'],['0.0'],['0.0']
['Name the major shrine of Bogumilus?'],"['http://dbpedia.org/ontology/majorShrine,']",[' [        "http://dbpedia.org/ontology/majorShrine"    ]'],['1.0'],['1.0']
"['Name the office holder whose predecessor is  Henry E. Catto, Jr. and won Screen Actors Guild Life Achievement Award?']","['http://dbpedia.org/ontology/predecessor,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/OfficeHolder,']",[' [        "http://dbpedia.org/ontology/award"    ]'],['1.0'],['1.0']
['In which teams have league members of the Czech Extraliga played previously?'],"['http://dbpedia.org/property/league,http://dbpedia.org/ontology/formerTeam,']","[' [        ""http://dbpedia.org/ontology/formerTeam"",         ""http://dbpedia.org/ontology/league""    ]']",['0.666666666667'],['1.0']
['Who are buried in  Rome and Mausoleum of Augustus?'],"['http://dbpedia.org/property/placeOfBurial,http://dbpedia.org/property/placeOfBurial,']",[],,
['How many battles have involved commanders of 1st Free French Division?'],"['http://dbpedia.org/property/notableCommanders,http://dbpedia.org/property/battles,']",[],,
['Count the number of cities on the Mediterranean Sea?'],"['http://dbpedia.org/property/cities,']",[],,
['Who is the office holder with deputies as Neil Brown and Andrew Peacock?'],"['http://dbpedia.org/property/deputy,http://dbpedia.org/property/deputy,http://dbpedia.org/ontology/OfficeHolder,']",[],,
['Which executive producer of Into the Dalek also produced Wizards vs Aliens ?'],"['http://dbpedia.org/property/executiveProducer,http://dbpedia.org/ontology/producer,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['1.0'],['1.0']
['Who appointed the successor of Charles Pinckney ?'],"['http://dbpedia.org/ontology/successor,http://dbpedia.org/property/appointer,']",[' [        "http://dbpedia.org/ontology/successor"    ]'],['1.0'],['1.0']
"[""Where did they debut their careers , those who have played for US men's national soccer team?""]","['http://dbpedia.org/property/nationalteam,http://dbpedia.org/property/debutteam,']",[' [        "http://dbpedia.org/property/team"    ]'],['0.0'],['0.0']
['EU Broadcasting Union is the owner of the distributor of what?'],"['http://dbpedia.org/property/owner,http://dbpedia.org/ontology/distributor,']",[' [        "http://dbpedia.org/ontology/owner"    ]'],['0.5'],['1.0']
['Was Jack Ryan a nominee of US Senate?'],"['http://dbpedia.org/ontology/nominee,']",[],,
,,[],,
,,[],,
['List the cities which share the same water body as that of Florida ?'],"['http://dbpedia.org/property/cities,http://dbpedia.org/property/cities,http://dbpedia.org/ontology/BodyOfWater,']","[' [        ""http://dbpedia.org/property/cities"",         ""http://dbpedia.org/property/body""    ]']",['1.0'],['1.0']
['God Defend New Zealand is the national anthem of which country?'],"['http://dbpedia.org/property/nationalAnthem,']",[],,
['Who founded the sister stations of Discovery Communications?'],"['http://dbpedia.org/property/sisterNames,http://dbpedia.org/property/founder,']",[],,
['What are the notable works of the person who produced Queer as Folk?'],"['http://dbpedia.org/ontology/producer,http://dbpedia.org/property/notableworks,http://dbpedia.org/ontology/Person,']",[' [        "http://dbpedia.org/ontology/producer"    ]'],['1.0'],['1.0']
['What are the border of High Desert (Oregon)?'],"['http://dbpedia.org/ontology/border,']",[' [        "http://dbpedia.org/ontology/border"    ]'],['1.0'],['1.0']
['What all is owned by a company one of whose division is Paramount Domestic Television?'],"['http://dbpedia.org/ontology/division,http://dbpedia.org/property/company,']",[' [        "http://dbpedia.org/ontology/division"    ]'],['1.0'],['1.0']
[' Which musical band produced the subsequent work of City of New Orleans ?'],"['http://dbpedia.org/ontology/subsequentWork,http://dbpedia.org/ontology/musicalBand,']","[' [        ""http://dbpedia.org/ontology/musicalBand"",         ""http://dbpedia.org/ontology/subsequentWork""    ]']",['1.0'],['1.0']
["Which artist of Madagascar: Operation Penguin is also the writer of He's a Pirate ?"],"['http://dbpedia.org/property/artist,http://dbpedia.org/property/writer,']",[],,
['Where did Goran Cengic die?'],"['http://dbpedia.org/property/deathPlace,']",[],,
['The authors of Zhorstoke nebo was influenced by whom ?'],"['http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/influencedBy,']",[' [        "http://dbpedia.org/ontology/previousWork"    ]'],['0.5'],['1.0']
['Name the basketball team which is coached by Louis Dunbar and has president as Jeff Munn ?'],"['http://dbpedia.org/property/coach,http://dbpedia.org/property/president,http://dbpedia.org/ontology/BasketballTeam,']",[],,
['Which hometown of pavel Moroz is also the palace of birthplace of Helena of Moscow ?'],"['http://dbpedia.org/property/hometown,http://dbpedia.org/ontology/birthPlace,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['1.0'],['1.0']
['Name the largest city in the county where there is a Cy-Fair High School.'],"['http://dbpedia.org/ontology/county,http://dbpedia.org/ontology/largestCity,']",[' [        "http://dbpedia.org/ontology/city"    ]'],['0.5'],['1.0']
['What are the academic interests of the past members of Senser?'],"['http://dbpedia.org/property/pastMembers,http://dbpedia.org/property/mainInterests,']",[],,
['Name the common associate band of Blayse and Teddy Riley ?'],"['http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/ontology/associatedBand,']","[' [        ""http://dbpedia.org/ontology/producer"",         ""http://dbpedia.org/ontology/associatedMusicalArtist""    ]']",['0.0'],['0.0']
['Who is the performer of album which has the song "To Where You Are" ?'],"['http://dbpedia.org/ontology/album,http://dbpedia.org/ontology/artist,']",[' [        "http://dbpedia.org/ontology/album"    ]'],['1.0'],['1.0']
["What is the alma mater of the actors of The God Who Wasn't There ?"],"['http://dbpedia.org/property/starring,http://dbpedia.org/property/almaMater,']",[],,
['Which label released the movie written by Thomas Meehan?'],"['http://dbpedia.org/property/writer,http://dbpedia.org/property/label,http://dbpedia.org/ontology/Film,']",[],,
['What is the leader name of the settlements whose governing body is Municipal council?'],"['http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/Settlement,']",[' [        "http://dbpedia.org/ontology/governingBody"    ]'],['1.0'],['1.0']
['What is the major shrine of Jacques-Dsir Laval ?'],"['http://dbpedia.org/ontology/majorShrine,']",[],,
['List places that are associated to cities in the state of Mecklenburg-Vorpommern.'],"['http://dbpedia.org/ontology/federalState,http://dbpedia.org/property/cities,']",[' [        "http://dbpedia.org/ontology/state"    ]'],['0.0'],['0.0']
['Count the number of actors in Lucy Sullivan Is Getting Married.'],"['http://dbpedia.org/property/starring,']",[],,
['Which predecessor of Alexander Downer was deputy to Neil Brown ?'],"['http://dbpedia.org/ontology/predecessor,http://dbpedia.org/property/deputy,']",[' [        "http://dbpedia.org/property/predecessor"    ]'],['0.5'],['1.0']
['Which sports are played in the alma mater of Amitava Datta?'],"['http://dbpedia.org/property/almaMater,http://dbpedia.org/ontology/sport,']",[],,
['To which series does the character of Londo Mollari belong?'],"['http://dbpedia.org/ontology/series,']",[' [        "http://dbpedia.org/ontology/series"    ]'],['1.0'],['1.0']
['Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country?'],"['http://dbpedia.org/ontology/locationCountry,http://dbpedia.org/ontology/locationCountry,']","[' [        ""http://dbpedia.org/ontology/locationCountry"",         ""http://dbpedia.org/ontology/birthPlace""    ]']",['1.0'],['1.0']
['What is the birthplace of Liudmila Privivkova and Qadir Huseynov ?'],"['http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/birthPlace,']",[' [        "http://dbpedia.org/ontology/birthPlace"    ]'],['1.0'],['1.0']
['What is the predecessor of the automobile which is the related of Cadillac Fleetwood?'],"['http://dbpedia.org/property/related,http://dbpedia.org/ontology/predecessor,http://dbpedia.org/ontology/Automobile,']",[' [        "http://dbpedia.org/ontology/predecessor"    ]'],['1.0'],['1.0']
['Under which archipelago does Canary Islands fall?'],"['http://dbpedia.org/property/archipelago,']",[],,
['What is the craft of the Ralph Flanders which is also the profession of  Claiborne Pell ?'],"['http://dbpedia.org/property/occupation,http://dbpedia.org/ontology/profession,']",[' [        "http://dbpedia.org/ontology/profession"    ]'],['1.0'],['1.0']
['Who are the politicians whose death place is Ontario?'],"['http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Politician,']",[' [        "http://dbpedia.org/property/deathPlace"    ]'],['0.5'],['1.0']
['Does the US route 281 have a junction at San Antonio?'],"['http://dbpedia.org/property/junction,']",[],,
['Name the company whose one of the product is Pixar Image Computer and has one of the key person as Edwin Catmull?'],"['http://dbpedia.org/ontology/product,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/ontology/Company,']","[' [        ""http://dbpedia.org/ontology/product"",         ""http://dbpedia.org/ontology/keyPerson""    ]']",['1.0'],['1.0']
['Who has official residences at Beverly Hills and Colts Neck Township ?'],"['http://dbpedia.org/ontology/residence,http://dbpedia.org/ontology/residence,']","[' [        ""http://dbpedia.org/property/residence"",         ""http://dbpedia.org/ontology/residence""    ]']",['1.0'],['1.0']
['Give me a count of royalties buried in Rome ?'],"['http://dbpedia.org/property/placeOfBurial,http://dbpedia.org/ontology/Royalty,']",[],,
['What is the route junction of Rhode Island Route 15 ?'],"['http://dbpedia.org/ontology/routeJunction,']",[' [        "http://dbpedia.org/ontology/routeJunction"    ]'],['1.0'],['1.0']
['Which executive producer of the ultimate merger is also an important person at Trump Productions?'],"['http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/ontology/keyPerson,']","[' [        ""http://dbpedia.org/ontology/producer"",         ""http://dbpedia.org/ontology/executiveProducer""    ]']",['0.5'],['0.5']
['Is KOMC-FM the sister station of KOMC (AM)?'],"['http://dbpedia.org/ontology/sisterStation,']",[' [        "http://dbpedia.org/ontology/sisterStation"    ]'],['1.0'],['1.0']
['Which awards are presented by Swedish Academy?'],"['http://dbpedia.org/ontology/presenter,http://dbpedia.org/ontology/Award,']",[' [        "http://dbpedia.org/ontology/award"    ]'],['0.0'],['0.0']
['List the awards won by the fashion designer which have been recognized by Tennessee State Museum ?'],"['http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/FashionDesigner,']","[' [        ""http://dbpedia.org/ontology/award"",         ""http://dbpedia.org/ontology/birthPlace""    ]']",['1.0'],['1.0']
['What is the record label of the Next Thing and also the  label of the The Producers (2005 film)?'],"['http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/property/label,']",[' [        "http://dbpedia.org/ontology/recordLabel"    ]'],['1.0'],['1.0']
